Restaurant Name,Restaurant Type,Rate (Out Of 5),Num Of Ratings,Avg Cost (Two People),Online_Order,Table Booking
#FeelTheROLL,Quick Bites,3.4,7,200,No,No
#L-81 Cafe,Quick Bites,3.9,48,400,Yes,No
#refuel,Cafe,3.7,37,400,Yes,No
'@ Biryani Central,Casual Dining,2.7,135,550,Yes,No
'@ The Bbq,Casual Dining,2.8,40,700,Yes,No
'@99,"Takeaway, Delivery",3.4,37,200,No,No
'@Italy,Casual Dining,4.1,305,700,Yes,No
'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300,No,No
1000 B.C,Quick Bites,3.2,49,300,Yes,No
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41,450,No,No
11 to 11 Express Biriyanis,Quick Bites,3.5,22,300,Yes,No
1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500,No,Yes
12th Main - Grand Mercure,Fine Dining,4.1,353,2000,No,Yes
1441 Pizzeria,Casual Dining,4.1,119,800,Yes,No
1522 - The Pub,Pub,4.2,1731,1400,Yes,No
154 Breakfast Club,Cafe,4,1509,900,Yes,Yes
1722 Urban Bistro,Casual Dining,4.1,218,600,Yes,Yes
18+ Ice Cafe,Cafe,3.5,24,550,No,No
1947,Casual Dining,3.9,620,1000,No,Yes
1980s Games Cafe,Cafe,3.4,58,400,Yes,No
1992 Chats - Space,Quick Bites,3.7,33,200,Yes,No
1Q1,"Casual Dining, Bar",4.3,595,2500,No,Yes
1TO3 Kitchen,Delivery,3.1,11,800,No,No
2 Statez,Casual Dining,3.7,209,600,Yes,No
20 Char - Sterlings MAC Hotel,"Casual Dining, Bar",4,419,1400,Yes,Yes
20 Feet High,"Casual Dining, Bar",4,932,1000,Yes,Yes
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000,No,No
24 Carats - The Capitol,Casual Dining,3.1,46,1000,No,No
24 Hours Cake Delivery,Delivery,3.3,4,700,No,No
24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800,No,No
24/7 - The Lalit Ashok Bangalore,Fine Dining,4,344,3000,No,Yes
24/7 Food Service,"Takeaway, Delivery",2.9,7,300,Yes,No
24@43 - The Oterra,Fine Dining,4.1,268,3000,No,Yes
24th Main,Casual Dining,4.1,1234,800,No,Yes
29 Degrees North,Quick Bites,3.9,283,250,Yes,No
2nd Home Restaurant,Quick Bites,3.7,21,500,Yes,No
3 Leafs,Casual Dining,3.7,128,600,Yes,No
3 Spice,Casual Dining,3.9,156,450,Yes,No
30 Square,Quick Bites,4.2,556,400,Yes,No
360 Atoms Restaurant And Cafe,Cafe,3.1,13,400,Yes,No
36th Cross Coffee Mane,Casual Dining,3.7,29,500,No,No
37 China Town,Casual Dining,3.5,58,900,No,No
"3B's - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,1100,No,Yes
3G's - Gulp & Groove,"Bar, Casual Dining",4.1,662,1100,Yes,Yes
3rd Innings,"Casual Dining, Bar",3,17,1000,No,No
4 Mangoes,Kiosk,3.7,14,200,No,No
4 Seasons Restaurant,Casual Dining,3.7,399,1000,Yes,Yes
4 States,Food Court,3.2,4,400,No,No
46 Ounces Brewgarden,Microbrewery,2.8,40,1600,No,Yes
4700BC Popcorn,"Takeaway, Delivery",4.1,55,500,No,No
4Foodiez,Quick Bites,3.6,82,300,Yes,No
4Foodiez - The Restaurant,Quick Bites,3,23,400,No,No
4K Biryani,Delivery,3.3,4,700,Yes,No
4th Tea Block,Cafe,4,62,150,No,No
5 Star Food,Quick Bites,2.8,40,300,Yes,No
50-50 EATING HOUSE,Quick Bites,3.2,4,100,No,No
52 Wall Street,"Bar, Casual Dining",3.9,737,1400,No,No
55 Wall Street,Bar,3.9,1763,1300,No,Yes
56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,150,No,No
5th Main Cafe,Cafe,3.5,15,250,No,No
7 Days Restaurant,Quick Bites,3.8,478,400,Yes,No
7 Degrees North,Casual Dining,3.5,11,500,No,No
7 Hills Andhra Mess,Mess,3.4,8,300,No,No
7 Plates,Casual Dining,3.5,531,600,Yes,No
7 Shanghai,Quick Bites,3.5,18,250,Yes,No
7 Spice,Quick Bites,3.4,5,250,No,No
7 to 11 Food Court,Quick Bites,3.7,16,200,Yes,No
70 Brigade - Iris Hotel,Casual Dining,3.9,105,1000,No,Yes
7Biryanis,Casual Dining,3.2,4,600,Yes,No
7th Heaven,Bakery,3.6,17,300,No,No
8 Slice,Delivery,3.7,74,600,Yes,No
9 Bowls,Quick Bites,2.8,40,500,Yes,No
90's,Quick Bites,2.8,40,200,No,No
90's Beer Cafe - Hotel Millennium Plaza,Bar,3,7,1000,No,No
90's Cafe,Quick Bites,2.8,40,500,No,No
99 Caffe,Quick Bites,3.6,106,250,Yes,No
99 Pancakes,Dessert Parlor,4.1,41,150,Yes,No
99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16,250,Yes,No
99 Variety Dosa and Pav Bhaji,Quick Bites,4,101,250,Yes,No
99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery",2.8,40,300,Yes,No
99Foods,Quick Bites,3.4,32,400,No,No
9D Foods,Quick Bites,4,458,400,Yes,No
9th Cross Cafe,Cafe,3.6,12,550,No,No
A 1 Pizza and Food,Delivery,2.8,211,300,Yes,No
A Bar,Bar,3.3,19,600,No,No
A Hole Lotta Love Cafe,Cafe,4.3,2871,600,Yes,No
A Little For Love,Bakery,3.4,12,350,No,No
A M Biryani Hotel,Quick Bites,3.3,6,300,Yes,No
A Southern Fair,Casual Dining,3,19,750,Yes,No
A Today Thick Shakes,Beverage Shop,3.2,9,200,No,No
A.M New Punjab Food Corner,Quick Bites,3.5,21,350,Yes,No
A1 Ambur Dum Biryani And Parota Centre,Quick Bites,3.2,4,300,No,No
A1 Biriyani Point,Quick Bites,3,10,200,No,No
A1 Garam Masala,Casual Dining,3.6,25,500,Yes,No
A1 Hot Dum Biryani,Quick Bites,3.2,4,150,No,No
A1 Spice Inn,Casual Dining,3.5,46,500,No,No
A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544,400,Yes,No
A2B Veg - Adyar Ananda Bhavan,Casual Dining,2.7,97,400,Yes,No
A3 Nuwang Kitchen,Quick Bites,3.7,42,300,Yes,No
Aaccord Restaurant,Casual Dining,2.8,40,600,No,No
Aadhya Hotel,"Casual Dining, Bar",3.3,5,800,Yes,No
Aadvik Nightfood,Delivery,3.6,22,350,Yes,No
Aagaman Veg,Casual Dining,2.8,40,900,Yes,No
Aaha,Quick Bites,3.6,93,300,Yes,No
Aaha Andhra,Casual Dining,3.4,58,900,No,No
Aahar Cafe,Quick Bites,,40,100,No,No
Aahar Vihar,Quick Bites,4,68,250,Yes,No
Aahara Vihar,Quick Bites,3.5,13,300,No,No
Aaharam,Quick Bites,4,65,350,No,No
Aalishan Restaurant & Caterer,Casual Dining,3.5,888,650,Yes,No
Aami Bangali,Casual Dining,3,66,700,Yes,No
Aami Kolkata,Delivery,3.3,5,600,No,No
Aao G Khao G,Quick Bites,3.5,11,200,Yes,No
Aapni Rasoi,Quick Bites,3.2,127,400,Yes,No
Aaranya Restaurant,Casual Dining,3.4,212,800,Yes,No
Aarti Paratha & Rolls Corner,Quick Bites,3.6,15,200,Yes,No
Aarya Pork Hotel,Quick Bites,3.3,11,300,No,No
Aashirvaad Restaurant,Quick Bites,3.1,249,300,Yes,No
Aashish Foods,Quick Bites,2.7,35,150,Yes,No
Aasife & Brothers Biriyani Centre,Casual Dining,3.8,120,600,Yes,No
Aastha Bengali Mess,Quick Bites,3.9,131,250,Yes,No
Aata's Kitchen,Quick Bites,2.8,40,250,Yes,No
Aathithya,Casual Dining,3.1,16,1100,No,No
Aathurar,Casual Dining,3.2,574,600,Yes,No
Abbabi Chicken,Quick Bites,3.7,134,200,No,No
ABC Grand,Casual Dining,3.5,54,,No,No
Abhiruchi,Casual Dining,3.8,164,650,No,No
Abhiruchi Andhra Mess,Mess,3.1,61,300,Yes,No
Abhiruchi Hotel,Casual Dining,3.2,12,500,Yes,No
Abhiruchi Moonlight,"Takeaway, Delivery",3.3,4,300,Yes,No
Abhiruchi Restaurant,Casual Dining,3.4,5,400,Yes,No
AB's - Absolute Barbecues,Casual Dining,4.6,1502,1400,No,Yes
Absolute Chinese,Quick Bites,3.8,209,450,Yes,No
Absolute Shawarma,"Takeaway, Delivery",2.8,40,150,Yes,No
Absolute Waffles,Dessert Parlor,3.9,49,200,Yes,No
Aburrahaman,Delivery,2.8,40,400,No,No
Abzain Paradise,Quick Bites,2.9,42,300,No,No
Achayyan's,Quick Bites,3.8,405,350,Yes,No
Ackley Kitchen,Quick Bites,3.6,33,500,Yes,No
Adarsh Bakery,Bakery,3.1,10,300,No,No
Adda,Quick Bites,3.3,5,300,No,No
Addhuri Udupi Bhojana,Quick Bites,3.7,88,300,No,No
Adiga's,Quick Bites,3.3,55,150,No,No
Adi's Cake N Cafe,Bakery,3.3,4,400,No,No
Adithya,Casual Dining,3.9,178,450,Yes,No
Adithya Family Restaurant,Quick Bites,3.7,27,250,No,No
Adithya Tiffin Centre,"Takeaway, Delivery",2.8,40,200,No,No
Adithya Veg,Quick Bites,3.3,10,300,No,No
Aditya Delights,Quick Bites,3.7,59,300,No,No
Aditya Sweets,Sweet Shop,3.7,21,200,Yes,No
Aditya Uphar,Quick Bites,3.5,30,200,No,No
Adukkala Restaurant,Casual Dining,2.9,128,600,Yes,No
Adupadi,Quick Bites,2.9,25,450,No,No
Advika Briyani Center,Delivery,3.2,10,300,No,No
Adya Hotel,Quick Bites,3.3,4,400,No,No
Adyar Anand Bhavan Sweets,Quick Bites,2.8,40,200,No,No
Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery",3.4,6,200,Yes,No
Adyar Ananda Bhavan Sweets,"Takeaway, Delivery",3.6,4,200,Yes,No
Afghani Tandoori Hub,Quick Bites,3.6,14,400,Yes,No
Afoozoo - Ginger Hotel,Casual Dining,3.5,40,800,No,No
Afrina's Kitchen,"Takeaway, Delivery",3.4,9,250,Yes,No
Agarwal Food Service,Delivery,3.5,16,400,Yes,No
Agent Jack's Bar,Bar,4,377,1300,No,Yes
Agraharaa,Quick Bites,2.8,40,150,No,No
Agraharam Meal,"Takeaway, Delivery",3.7,61,300,No,No
Aha Juice Bar,Beverage Shop,3.6,13,200,No,No
Ahaan Restaurant,Delivery,2.8,76,300,Yes,No
AhimsaAmrit Green Cafe,Casual Dining,3.4,9,800,No,No
Ahmad's Chicken Hut,Quick Bites,3.2,9,200,No,No
Ahmed's Little Hut,Quick Bites,2.8,40,250,Yes,No
Ahmeds Takeaway Restaurant,"Takeaway, Delivery",2.8,40,250,No,No
Aioli,Casual Dining,4.2,783,1400,No,Yes
Airlines Hotel,Quick Bites,4,867,400,Yes,No
Aisha Tharavad,Quick Bites,,40,400,No,No
Aishwarya,Dhaba,3.3,6,450,No,No
Aishwarya Parkland,Casual Dining,2.9,59,500,No,No
Aishwarya Sweets,Sweet Shop,3.6,24,250,Yes,No
Aishwarya Uphar,Quick Bites,2.8,40,150,No,No
Ajwa Thalassery Biryani,Quick Bites,3.9,42,500,Yes,Yes
Akkad Bakkad,Casual Dining,3.9,72,600,Yes,Yes
AKS Family Dhaba And Restaurant,Quick Bites,3.6,40,500,Yes,No
Akshara,Casual Dining,3.8,42,700,Yes,No
Akshatha Nati Style,Quick Bites,3.7,20,500,No,No
Akshaya Bar And Restaurant,"Casual Dining, Bar",2.8,40,600,Yes,No
AKSHAYA BIRYANI,Quick Bites,3.6,20,300,Yes,No
Akshaya Deluxe,Casual Dining,4,336,500,Yes,No
Akshaya Donne Biriyani,Quick Bites,3,39,300,Yes,No
Akshaya Family Restaurant,Quick Bites,3.2,4,150,Yes,No
Akshaya Grand,Casual Dining,3.4,29,750,Yes,No
Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13,200,No,No
Akss - India Reimagined,Casual Dining,4.2,258,1800,No,Yes
Al Amal Cafe,"Cafe, Quick Bites",4,74,300,No,No
Al Amanah Cafe,Quick Bites,4.4,1413,300,Yes,No
Al Ameen Rolls Corner,Quick Bites,3.7,16,200,No,No
Al Barack Cafetaria,Quick Bites,3.6,20,300,No,No
Al Daaz,Casual Dining,4.2,567,550,Yes,No
Al Diwan Biryanis And More,"Takeaway, Delivery",3.2,12,300,Yes,No
Al Ghani Resetaurant,Quick Bites,3.3,4,400,No,No
Al Habibi Restaurant,Quick Bites,3.5,17,300,Yes,No
Al Hayath,Quick Bites,3.5,16,200,No,No
Al Hayath Ambur Biryani,Quick Bites,3.3,9,200,No,No
Al Karim,Casual Dining,3.7,90,,No,No
Al Khaleej Snacks Corner,Quick Bites,2.8,40,200,No,No
Al Khansah,Casual Dining,3.9,370,550,Yes,No
Al Khwaja,Casual Dining,3,13,400,No,No
Al Madhina Roll House,Quick Bites,3.4,6,300,No,No
Al Madina Family Restaurant,Quick Bites,2.8,40,500,No,No
Al Madina Roll House,Quick Bites,3.6,16,150,Yes,No
